Corporate_name	Count
Lunds bollklubb	2
Blekingska nationen (Lund)	2
Akademiska föreningen (Lund)	2
Norrköpings stadsbibliotek och museum	2
Utställning 1911. Arvika.	2
London. Utställning 1862.	2
The Iron and Steel Institute.	2
Crystal Palace. London.	2
Royal Academy of Arts (Storbritannien)	2
Ljungbyhed. Soldathemmet.	2
Ljungby. Utställning 1928.	2
Ljungby missionsförsamling.	2
Linköpings stift. Domkapitlet.	2
Linköpings fabriks- och hantverksförening.	2
Utställning 1946. Lidköping.	2
Svenska missionsförbundets missionsskola	2
Lidingö stads bibliotek.	2
Levene folk- och skolbibliotek.	2
Svenska Lantmännens riksförbund	2
Landsorganisationen i Sverige	2
Landskrona. Godtemplarorden.	2
Köpings IS	2
Sveriges Köpmannaförbund	2
Kyröfors pappersbruk.	2
Svenska privatlyceum och Privata svenska reallyceum för gossar och flickor.	2
Sällskapet N.N.	2
Sveriges allmänna Kristna lifförsäkringsförening	2
Kristinehamns praktiska skola.	2
K.F.U.K. Kristianstad.	2
Krigsskolan.	2
Sveriges Konditorförening	2
Klippans boll- och idrottsförening.	2
Utställning 1905.	2
Värmlands regementes bibliotek.	2
Karlstads folkskolebibliotek.	2
Betlehemskyrkans ungdomsförening.	2
Karlskrona konstförening.	2
Karlskrona arbetareförening.	2
Karlsborgs artilleribataljon.	2
Konsumtionsföreningen Carlholm	2
Idrottsföreningen Kamraterna	2
Utställning 1927. Kalmar.	2
Skandinaviska läsesällskapet. Biblioteket.	2
Kalmar allmänna djurskyddsförening.	2
Kallinge SK	2
Jönköpings Segelsällskap	2
Jönköpings kristliga ynglingaförenings bibliotek.	2
Jönköpings kristliga ynglingaförening.	2
Dvalin. Jönköping.	2
Svenska Jästfabriksaktiebolaget	2
Svenska Järnvägsmannaförbundet	2
Utställning 1928. Höganäs.	2
Hässleby sportklubb.	2
Härnösand. Utställning 1935.	2
Härnösand. Utställning 1879.	2
Härnösands tullkammardistrikt.	2
Arbetarnas bildningsförbunds bibliotek.	2
Utställning 1922. Helsingborg.	2
Sveriges filatelistförening. Helsingborg.	2
Hälsingborgs konditorförening.	2
K.F.U.K. Helsingborg.	2
Hälsingborgs idrottsförening.	2
Eldbegängelseföreningen. Helsingborg.	2
Hälsingborgs arbetarekommuns bibliotek.	2
Hudiksvall Folkets hus.	2
Hovmantorps husmodersförening.	2
Goodtemplarorden. Hofors.	2
Hille kommunbibliotek.	2
Helsingfors segelsällskap.	2
Utställning 1928. Helsingfors.	2
Utställning 1885. Helsingfors.	2
Utställning 1876. Helsingfors.	2
Universitetsbibliotek. Helsingfors.	2
Svenska handelsinstitutet i Helsingfors.	2
Finska litteratursällskapet	2
Helsingfors stads sparbank.	2
Helsingfors simsällskap.	2
M. M. Muntra musikanter. Helsingfors.	2
Konstnärsgillet. Helsingfors.	2
IFK Helsingfors	2
Helsingfors grafiska klubb.	2
Föreningen Böcker åt de blinda. Helsingfors.	2
Helsingfors frimärkssamlareförening.	2
Friluftsmuseet på Fölisön. Helsingfors.	2
Finska läkare-sällskapets boksamling. Helsingfors.	2
Barnets borg. Helsingfors.	2
Anstalten för yrkenas främjande. Helsingfors.	2
Ungdomsförbundet Heimdal inom N.G.T.O.	2
Sveriges Hantverksorganisation	2
Allgemeine Elektricitäts-Gesellschaft	2
Hammerdals sockenbibliotek.	2
Ynglingaföreningen Libanon. Göteborg.	2
Västra Lundby hyresgästförening. Göteborg.	2
Göteborgs velocipedklubb.	2
Utställning 1923. Jubileumstuställningen. Göteborg.	2
Utställning 1918. Göteborg.	2
Utställning 1905. Göteborg.	2
St. Jakobs metodistförsamling. Göteborg.	2
Ordenssällskapet Tim Glaset. Göteborg.	2
Nya teatern.	2
Långedrags gymnastik- och idrottsförening.	2
Lundens hyresgästförening.	2
Kindgillet.	2
IFK Göteborg	2
Föreningen Hus och hem.	2
Göteborgstullens idrottsförening.	2
Göta Par Bricole	2
Göteborg. Godtemplarorden.	2
Göteborg. Goodtemplarorden.	2
Göteborgs golfklubb.	2
Filologiska samfundet.	2
Göta artilleriregemente.	2
Allmänna och Sahlgrenska sjukhuset. Göteborg.	2
Gävle. Handelskammaren.	2
Gävle tullkammaredistrikt.	2
Gävle. Sällskapet Hjälpsamheten.	2
Föreningen för koloniträdgårdar.	2
