"","catalog","author","title","town","from","till","publisher"
"233","fennica","Allardt, Anders","En framtidsman","Laihia",1888,1888,"Bertrand"
"234","fennica","Allardt, Anders","En framtidsman","Laihia",1888,1888,"J. Cedervaller & Son"
"235","kungliga","Allardt, Anders","En framtidsman","Kräklinge",1888,1888,"Min melodi"
"236","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1861,1861,"Yrjö Weilin & Coumpp"
"237","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner",NA,1861,1861,"Työväen sanomalehti-o.y"
"238","fennica","Runeberg, Johan Ludvig","Julqvällen",NA,1861,1861,"Työväen sanomalehti-o.y"
"239","fennica","Runeberg, Johan Ludvig","Nadeschda","Königsberg",1861,1861,"J.H. Schubothe"
"240","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1861,1861,"Suomalaisen Kirjallisuuden Seura"
"241","fennica","Runeberg, Johan Ludvig","Hanna",NA,1861,1861,"Työväen sanomalehti-o.y"
"242","fennica","Runeberg, Johan Ludvig","Hanna","Helsinki",1861,1861,"Suomalaisen Kirjallisuuden Seura"
"243","fennica","Runeberg, Johan Ludvig","Kung Fjalar","Helsinki",1861,1861,"Suomalaisen Kirjallisuuden Seura"
"244","fennica","Runeberg, Johan Ludvig","Nadeschda","Helsinki",1861,1861,"Suomalaisen Kirjallisuuden Seura"
"245","fennica","Runeberg, Johan Ludvig","Johan Ludvig Runebergs samlade arbeten","Helsinki",1861,1861,"Yrjö Weilin & Coumpp"
"246","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsingsissä",1861,1861,"Fritzes hofbokhandel"
"247","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner",NA,1861,1861,"Lindstedts universitetsbokhandel"
"248","kungliga","Runeberg, Johan Ludvig","Nadeschda","Kongsberg",1861,1861,""
