original_publisher	modified_publisher
Nationaltr	National
Skånska central	Skånska centraltr
Skånska centralltr	Skånska centraltr
Steinvik	Steinsvik
Weijmers	Weijmer
Weimer	Weijmer
Weimers	Weijmer
Bohlin & co	Bohlin & Co
Sohlmans	Sohlman
Ed.Odeon	Ed. Odeon
Elkan & Schieldknecht	Elkan & Schildknecht
Elkan & Schildkencht	Elkan & Schildknecht
Elkan & Schildknrcht	Elkan & Schildknecht
Jämtland-Posten	Jämtlands-Posten
Jämtlands-posten	Jämtlands-Posten
Jämtlandspost:s	Jämtlands-Posten
Jämtlandsposten	Jämtlands-Posten
Jämtlandspostens	Jämtlands-Posten
Göta-tr	Götatr
Landskrona	Landskrona -
Skolan för Bokhantverk	Skolan för bokhantverk
Barometernas	Barometern
Barometerns	Barometern
Dagens	Dagen
E. Elofsson	E. Olofsson
Kristianstad läns tidning	Kristianstads läns tidning
Lindstedts	Lindstedt
Bolinders	Bolinder
Eesti kirjanike kooperativ	Eesti kirjanike kooperatiiv
Eesti kirjanikke kooperatiiv	Eesti kirjanike kooperatiiv
K.L. Svensson eftr	K.L. Svenssons eftr
K.L. Svenssons eftertr	K.L. Svenssons eftr
Norman-exp	Normansexp
Normansex	Normansexp
Svenska litteratursällskaps i Finland	Svenska litteratursällskap i Finland
Svenska skogsvårdsfören:	Svenska skogsvårdsförening
sällskap Bokvännerna	sällskap Boqvännerna
sällskap bokvännerna	sällskap Boqvännerna
A. Lindgren & Söner	A. Lindgren & söner
H.W. Tullbergs	H.W. Tullberg
J. Zetterlunds	J. Zetterlund
Littorin Rydén	Littorin Ryden
Smålands-tidning-	Smålands-tidning
Smålands-tidnings -	Smålands-tidning
Smålands tidning	Smålands-tidning
Smålandstidning	Smålands-tidning
Strömbergs	Strömberg
Wahledow	Wahledov
Enwalls bokhandel	Envalls bokhandel
Fröléen & Co	Fröleen & Co
Fröhléen & Comp	Fröleen & Co
Fröleén & Comp	Fröleen & Co
Fröléen & comp	Fröleen & Co
Fröléen & Comp	Fröleen & Co
Hagström	Haeggström
röderna Lundquist	röderna Lundqvist
Uddevalla -	Uddevalla
Uddevallatr	Uddevalla
Anderson	Andersson
Andersons	Andersson
Anderssons	Andersson
Fost.-stift:s F.-exp	Fost.-stift:s f.-exp
Fost.-stift:s f.-exp.	Fost.-stift:s f.-exp
Fost.-stift:s F.-exp.	Fost.-stift:s f.-exp
förening för svensk undervisningshistoria : Gleerup	förening för svensk undervisningshistoria
Stocholms-tidning	Stockholms-tidning
Stockholms-tidning red	Stockholms-tidning
Stockholmstidning	Stockholms-tidning
Arwidsson	Arvidsson
Arwidson	Arvidsson
Dalarnas tidning & bok	Dalarnes tidning- & bok-
Dalarnas tidning & bok-a.b	Dalarnes tidning- & bok-
Dalarnas tidnings- & bok	Dalarnes tidning- & bok-
Dalarnes tidning- & bok	Dalarnes tidning- & bok-
Dalarnes tidning & bok	Dalarnes tidning- & bok-
Dalarnes tidning & bok-	Dalarnes tidning- & bok-
Dalarnes tidnings- & bok	Dalarnes tidning- & bok-
Dalarnes tidnings- & bok-	Dalarnes tidning- & bok-
Dalarnes tidnings- & bokt.-	Dalarnes tidning- & bok-
Dalarnes tidnings & bok-	Dalarnes tidning- & bok-
Sala-posten	Sala-Posten
Salaposten	Sala-Posten
Salapostens	Sala-Posten
Dala-demokraten	Dala-Demokraten
Dalademokraten	Dala-Demokraten
E. Kahlström	E. Kihlström
Johansohn	Johansson
Johanson	Johansson
Johanssons	Johansson
K. F. U. K	K. F. U. M
K. F. U. K:	K. F. U. M
K. F. U. M.-	K. F. U. M
K. F. U. M:	K. F. U. M
-förening Esperanto	sförening Esperanto
förening Esperanto	sförening Esperanto
- i Malmö	-:s i Malmö
:s i Malmö	-:s i Malmö
s- i Malmö	-:s i Malmö
s-:s i Malmö	-:s i Malmö
 Ardor	Ardor
