original	polished	Count
Stockholm :;Stockholm :;Uppsala ;;Stockholm :;Stockholm ;;Göteborg ;;Uppsala :;Stockholm	Stockholm	  1
Carlskrona 1814, Tryckt i Kongl. Amiralitets-Boktryckeriet, hos Major C. F. Swinhufwud.	Karlskrona	  1
Vexiö	Växjö	  1
Aachen..	Aachen	  1
Hamburg und Altona, 1796.	Hamburg	  1
Stockholm, tryckt hos J. Chr. Holmberg, 1781.	Stockholm	  1
Stockholm, Tryckt hos Henr. Fougt, Riddare af Kongl. Wasa Orden, Kongl. Boktryckare.	Stockholm	  1
Stockholm, trykt hos directeuren Lars Salvius, 1764.	Stockholm	  1
Carls-Crona, Tryckt hos Kongl. Amiralitets Boktryckaren Sal. Joan Winqwists Änckia.	Karlskrona	  1
Tryckt i Vpsala, af Johan Pauli åhr, 1658.	Uppsala	  1
Stockholm, tryckt i K. B. hos Sal. Wankifs Enkia.	Stockholm	  1
Brooklyn, N.Y.	New York NY	  1
Stockholm, tryckte hos A. Gadelius, 1815.	Stockholm	  1
Aboæ, excusum à Johanne Winter, reg. typogr. anno 1690.	Turku	  1
[Karlstad]	Karlstad	  1
