original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Beskow, Elsa	1874-1953	Beskow, Elsa (1874-1953)	1874	1953	 121
Mellin, Gustaf Henrik	1803-1876	Mellin, Gustaf Henrik (1803-1876)	1803	1876	 121
Svebilius, Olof	1624-1700	Svebilius, Olof (1624-1700)	1624	1700	 120
Dalin, Olof von	1708-1763	Dalin, Olof Von (1708-1763)	1708	1763	 120
Saxon, Johan Lindström	1859-1935	Saxon, Johan Lindström (1859-1935)	1859	1935	 118
Beskow, Natanael	1865-1953	Beskow, Natanael (1865-1953)	1865	1953	 118
Scott, Walter	1771-1832	Scott, Walter (1771-1832)	1771	1832	 117
Beskow, Bernhard von	1796-1868	Beskow, Bernhard Von (1796-1868)	1796	1868	 117
Elvestad, Sven	1884-1934	Elvestad, Sven (1884-1934)	1884	1934	 116
Johnsson, Pehr	1873-1963	Johnsson, Pehr (1873-1963)	1873	1963	 116
Tegnér, Esaias	1782-1846	Tegnér, Esaias (1782-1846)	1782	1846	 116
Franzén, Frans Michael	1772-1847	Franzén, Frans Michael (1772-1847)	1772	1847	 114
Påhlman, Axel	1882-1962.	Påhlman, Axel (1882-1962)	1882	1962	 114
Nordström, Ludvig	1882-1942	Nordström, Ludvig (1882-1942)	1882	1942	 114
Zetterström, Hasse	1877-1946	Zetterström, Hasse (1877-1946)	1877	1946	 114
Starbäck, Carl Georg	1828-1885	Starbäck, Carl Georg (1828-1885)	1828	1885	 114
Eklund, J. A	1863-1945.	Eklund, J A (1863-1945)	1863	1945	 114
Goethe, Johann Wolfgang von	1749-1832	Goethe, Johann Wolfgang Von (1749-1832)	1749	1832	 114
Gadd, Pehr Adrian	1727-1797	Gadd, Pehr Adrian (1727-1797)	1727	1797	 111
Fröding, Gustaf	1860-1911	Fröding, Gustaf (1860-1911)	1860	1911	 111
Schück, Henrik	1855-1947	Schück, Henrik (1855-1947)	1855	1947	 109
Johnsson, Harald	1886-1936	Johnsson, Harald (1886-1936)	1886	1936	 108
Wägner, Elin	1882-1949	Wägner, Elin (1882-1949)	1882	1949	 107
Bergman, Torbern	1735-1784	Bergman, Torbern (1735-1784)	1735	1784	 105
Cicero, Marcus Tullius	106-43 f.Kr.	Cicero, Marcus Tullius	NA	NA	 105
Schiller, Friedrich von	1759-1805	Schiller, Friedrich Von (1759-1805)	1759	1805	 104
Bergman, Johan	1864-1951	Bergman, Johan (1864-1951)	1864	1951	 104
Lo-Johansson, Ivar	1901-1990	Lo-johansson, Ivar (1901-1990)	1901	1990	 103
Levertin, Oscar	1862-1906	Levertin, Oscar (1862-1906)	1862	1906	 103
Gjörwell, Carl Christoffer	1731-1811	Gjörwell, Carl Christoffer (1731-1811)	1731	1811	 102
Nathorst, Alfred Gabriel	1850-1921	Nathorst, Alfred Gabriel (1850-1921)	1850	1921	 102
Collijn, Isak	1875-1949	Collijn, Isak (1875-1949)	1875	1949	 102
Palmblad, Vilhelm Fredrik	1788-1852	Palmblad, Vilhelm Fredrik (1788-1852)	1788	1852	 101
Doyle, Arthur Conan	1859-1930	Doyle, Arthur Conan (1859-1930)	1859	1930	 100
